municipality,district
Dobřejovice,['Říčany']
Dobřenice,['Hradec Králové']
Dobřeň,['Mělník']
Dobřichov,['Kolín']
Dobřichovice,['Černošice']
Dobříkov,['Vysoké Mýto']
Dobřínsko,['Moravský Krumlov']
Dobřív,['Rokycany']
Dobříč,"['Černošice', 'Kralovice']"
Dobříň,['Roudnice nad Labem']
Dobříš,['Dobříš']
Dobšice,"['Poděbrady', 'Týn nad Vltavou', 'Znojmo']"
Dobšín,['Mladá Boleslav']
Dohalice,['Hradec Králové']
Doksany,['Roudnice nad Labem']
Doksy,"['Kladno', 'Česká Lípa']"
Dolany,"['Kladno', 'Klatovy', 'Nýřany', 'Jaroměř', 'Pardubice', 'Olomouc']"
Dolany nad Vltavou,['Kralupy nad Vltavou']
Dolce,['Přeštice']
Dolenice,['Moravský Krumlov']
Dolní Benešov,['Hlučín']
Dolní Bezděkov,['Chrudim']
Dolní Bečva,['Rožnov pod Radhoštěm']
Dolní Beřkovice,['Mělník']
Dolní Bojanovice,['Hodonín']
Dolní Bousov,['Mladá Boleslav']
Dolní Branná,['Vrchlabí']
Dolní Brusnice,['Dvůr Králové nad Labem']
Dolní Bukovsko,['Týn nad Vltavou']
Dolní Bělá,['Kralovice']
Dolní Břežany,['Černošice']
Dolní Cerekev,['Jihlava']
Dolní Chvatliny,['Kolín']
Dolní Dobrouč,['Ústí nad Orlicí']
Dolní Domaslavice,['Frýdek-Místek']
Dolní Dubňany,['Moravský Krumlov']
Dolní Dunajovice,['Mikulov']
Dolní Dvořiště,['Kaplice']
Dolní Dvůr,['Vrchlabí']
Dolní Habartice,['Děčín']
Dolní Hbity,['Příbram']
Dolní Heřmanice,['Velké Meziříčí']
Dolní Hořice,['Tábor']
Dolní Hrachovice,['Tábor']
Dolní Hradiště,['Kralovice']
Dolní Kalná,['Vrchlabí']
Dolní Kounice,['Ivančice']
Dolní Kralovice,['Vlašim']
Dolní Krupá,"['Mnichovo Hradiště', 'Havlíčkův Brod']"
Dolní Lažany,['Moravské Budějovice']
Dolní Lhota,"['Luhačovice', 'Ostrava']"
Dolní Libochová,['Velké Meziříčí']
Dolní Lochov,['Jičín']
Dolní Lomná,['Jablunkov']
Dolní Loučky,['Tišnov']
Dolní Lukavice,['Přeštice']
Dolní Lutyně,['Bohumín']
Dolní Lánov,['Vrchlabí']
Dolní Morava,['Králíky']
Dolní Moravice,['Rýmařov']
Dolní Město,['Světlá nad Sázavou']
Dolní Nivy,['Sokolov']
Dolní Novosedly,['Písek']
Dolní Němčí,['Uherský Brod']
Dolní Nětčice,['Lipník nad Bečvou']
Dolní Olešnice,['Trutnov']
Dolní Podluží,['Varnsdorf']
Dolní Pohleď,['Kutná Hora']
Dolní Poustevna,['Rumburk']
Dolní Pěna,['Jindřichův Hradec']
Dolní Přím,['Hradec Králové']
Dolní Radechová,['Náchod']
Dolní Roveň,['Holice']
Dolní Rožínka,['Bystřice nad Pernštejnem']
Dolní Rychnov,['Sokolov']
Dolní Slivno,['Mladá Boleslav']
Dolní Sokolovec,['Chotěboř']
Dolní Stakory,['Mladá Boleslav']
Dolní Studénky,['Šumperk']
Dolní Tošanovice,['Frýdek-Místek']
Dolní Těšice,['Hranice']
Dolní Třebonín,['Český Krumlov']
Dolní Vilémovice,['Třebíč']
Dolní Vilímeč,['Telč']
Dolní Věstonice,['Mikulov']
Dolní Zimoř,['Mělník']
Dolní Zálezly,['Ústí nad Labem']
Dolní Újezd,"['Litomyšl', 'Lipník nad Bečvou']"
Dolní Čermná,['Lanškroun']
Dolní Řasnice,['Frýdlant']
Dolní Ředice,['Holice']
